"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 00:45:55 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","0","","Unit Tests","","TodoAppUnitTests","DeleteTodo_WithInvalidId_ShouldThrowException","DeleteTodo_WithInvalidId_ShouldThrowException",""
"passed","Tue Oct 28 00:45:52 UTC 2025","Tue Oct 28 00:45:53 UTC 2025","857","","UI Tests","","TodoUITests","TodoCounter_AfterCompleting_ShouldDecrease","TodoCounter_AfterCompleting_ShouldDecrease","Verify that the todo counter decreases after completing a todo"
"passed","Tue Oct 28 00:45:55 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","0","","Unit Tests","","TodoAppUnitTests","AddTodo_WithValidText_ShouldAddTodoToList","AddTodo_WithValidText_ShouldAddTodoToList",""
"passed","Tue Oct 28 00:45:55 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","0","","Unit Tests","","TodoAppUnitTests","GetCompletedTodos_ShouldReturnOnlyCompletedTodos","GetCompletedTodos_ShouldReturnOnlyCompletedTodos",""
"passed","Tue Oct 28 00:45:55 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","5","","Unit Tests","","TodoAppUnitTests","AddTodo_WithEmptyText_ShouldThrowException","AddTodo_WithEmptyText_ShouldThrowException",""
"passed","Tue Oct 28 00:45:55 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","1","","Unit Tests","","TodoAppUnitTests","ToggleTodo_WithInvalidId_ShouldThrowException","ToggleTodo_WithInvalidId_ShouldThrowException",""
"passed","Tue Oct 28 00:45:55 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","4","","Unit Tests","","TodoAppUnitTests","AddTodo_MultipleTodos_ShouldAssignUniqueIds","AddTodo_MultipleTodos_ShouldAssignUniqueIds",""
"passed","Tue Oct 28 00:45:54 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","1018","","UI Tests","","TodoUITests","ToggleTodo_ShouldMarkAsCompleted","ToggleTodo_ShouldMarkAsCompleted","Verify that toggling a todo marks it as completed"
"passed","Tue Oct 28 00:45:53 UTC 2025","Tue Oct 28 00:45:54 UTC 2025","798","","UI Tests","","TodoUITests","TodoCounter_ShouldDisplayCorrectCount","TodoCounter_ShouldDisplayCorrectCount","Verify that the todo counter displays the correct count"
"passed","Tue Oct 28 00:45:46 UTC 2025","Tue Oct 28 00:45:47 UTC 2025","1298","","UI Tests","","TodoUITests","ClearCompleted_ShouldRemoveCompletedTodos","ClearCompleted_ShouldRemoveCompletedTodos","Verify that Clear Completed removes only completed todos"
"passed","Tue Oct 28 00:45:55 UTC 2025","Tue Oct 28 00:45:55 UTC 2025","1","","Unit Tests","","TodoAppUnitTests","ClearCompleted_ShouldRemoveOnlyCompletedTodos","ClearCompleted_ShouldRemoveOnlyCompletedTodos",""
"passed","Tue Oct 28 00:45:47 UTC 2025","Tue Oct 28 00:45:48 UTC 2025","1024","","UI Tests","","TodoUITests","DeleteTodo_ShouldRemoveFromList","DeleteTodo_ShouldRemoveFromList","Verify that deleting a todo removes it from the list"
"passed","Tue Oct 28 00:45:42 UTC 2025","Tue Oct 28 00:45:43 UTC 2025","1858","","UI Tests","","TodoUITests","AddTodo_PressingEnter_ShouldAddTodo","AddTodo_PressingEnter_ShouldAddTodo","Verify that pressing Enter key adds a todo"
